Назва;Висота;Ширина;Товщина стінки;Товщина середини основи;Внутрішній радіус;Зовнішній радіус
5У;50;32;4,4;7;6;2,5
6,5У;65;36;4,4;7,2;6;2,5
8У;80;40;4,5;7,4;6,5;2,5
10У;100;46;4,5;7,6;7;3
12У;120;52;4,8;7,8;7,5;3
14У;140;58;4,9;8,1;8;3
16У;160;64;5;8,4;8,5;3,5
15аУ;160;68;5;9;8,5;3,5
18У;180;70;5,1;8,7;9;3,5
18аУ;180;74;5,1;9,3;9;3,5
20У;200;76;5,2;9;9,5;4
22У;220;82;5,4;9,5;10;4
24У;240;90;5,6;10;10,5;4
27У;270;95;6;10,5;11;4,5
30У;300;100;6,5;11;12;5
33У;330;105;7;11,7;13;5
36У;360;110;7,5;12,6;14;6
40У;400;115;8;13,5;15;6
